file,label,cell,source,speaker_id,duration_s
accents\real\en_native\self_en_Mukesh English Speech General.wav,real,en_native,self_recorded,self,450.384
accents\real\hi_native\self_hi_Mukesh Hindi Speech General.wav,real,hi_native,self_recorded,self,480.744
accents\real\en_foreign\cv_en_000000.wav,real,en_foreign,common_voice_17_0,8921c133cee10e2438f2a2e8a325b660f13581d6a2fca19c93741fa5a1a30f2a5696c27328d6e2c05877a346e4bfa8455c36b0b612ba7c84cd628731a4d30d04,7.608
accents\real\en_foreign\cv_en_000001.wav,real,en_foreign,common_voice_17_0,231338bce2633fb2b8ad33b23d4b04b0ad0671f86211792ae0923c0bff28afd439017d00d5991137bd440016a0f0c315e15f5a96e2b33deaa99e725741336c4c,6.552
accents\real\en_native\cv_en_000002.wav,real,en_native,common_voice_17_0,7eff9a54bdb0619deffda7609d5b8565278e3328de99e63908be2a37c1ad16516240b9c92bc6b68d8130b20dc556f57005dc053f4874a49589f5971a31b97e98,6.168
accents\real\en_foreign\cv_en_000003.wav,real,en_foreign,common_voice_17_0,47ebddea85e7f34cb00a6e1da84d242efd84a97588e6da8c365e0253ff70afb484ad747c7f22cafa4fef0b25453fb2577ed92f6cc5c2b38214dbcd1479e57396,3.336
accents\real\en_native\cv_en_000004.wav,real,en_native,common_voice_17_0,a05406a5eba158bcb40734bd3ad652d38bdd7e8514c35a5e2111831e56084fb06df244b9dadd705142185c2fb74a0aa1e3429632930935e7809639f677105f61,4.248
accents\real\en_foreign\cv_en_000005.wav,real,en_foreign,common_voice_17_0,70efccbeece8450b3b7ae006031e32b25e4370c91d5268cb8228e7da015920be3a8a0f2f29b4728671dfebfecf78a422a3cd20650cefffed8a98a339b6868b9a,4.944
accents\real\en_foreign\cv_en_000006.wav,real,en_foreign,common_voice_17_0,86555d8d6e72f13bfb4e6f527967f2fa1c4a8fa9721cf86ad72250a857862178a733c446ee6ec3f8b1f42365c9b8c8cb4eeeb6d0ec2a5ee862a404a07d9ab344,3.864
accents\real\en_native\cv_en_000007.wav,real,en_native,common_voice_17_0,a2576ccf04ad8c0dbe2b29f3843c1ed984d8bd91480766f4bf99c933d99ae8d2b32afc34c7e185b06c2b16deae4fbabb8030906be2455973e2d85d92b0afbc6e,6.228
accents\real\en_foreign\cv_en_000008.wav,real,en_foreign,common_voice_17_0,82da0ecebb638d9986b8a5d7f06d89bf0beae1489a0346153ad861d47a1012d433c1787831f51005a2d4966c67332411e27bd317ef29b8250a25c191f7272852,2.952
accents\real\en_foreign\cv_en_000009.wav,real,en_foreign,common_voice_17_0,064a2016c00e4edd9c4434e457a6beb17410df70500dd1d11c52fccd6ac7c5a7443504e27dc2dcc5e92ccc939c3bf8ea12de379c90c3f8ac250296e84f5d2fb9,6.528
accents\real\hi_native\cv_hi_000000.wav,real,hi_native,common_voice_17_0,0303022c144407f09d8f97be16ba6f2c41ac249e162b24f7d213f0c8a10c4235a4dbd0f53c4d6bcd674ea939898fa29d241a0c183c8f8b5963f55ea5a5327379,9.612
accents\real\hi_native\cv_hi_000001.wav,real,hi_native,common_voice_17_0,08aa344261cb28d4f1e8b697822f1338246b28d51cfa28016b6214ed8bcd38cb5485c3b718c8246503f35d7e90c68e6e51ccdcea0ffbe272a0355f013aa4af41,7.416
accents\real\hi_native\cv_hi_000002.wav,real,hi_native,common_voice_17_0,0a0db76f30e3d011216425efa204fa0d3064767656b913c1a15964ff4d3409d95a04609ab2c57d21c7ae225ce115dbc38160c92974e7194071f4af178f4ea762,8.100
accents\real\hi_native\cv_hi_000003.wav,real,hi_native,common_voice_17_0,18ac148b1b14b3b66a0116ecc3f445d74b049106dc0b0c39ba266ed130105ea5cba16d4e6220aaff9e2757009e3e3789ac98602887ee11491fcb207b874732c2,7.560
accents\real\hi_native\cv_hi_000004.wav,real,hi_native,common_voice_17_0,1cec8b78e84c018a6efce5b69c1f3837d98aa06f2ab20d370caab36ca0938d09dd89e21b83d94073d8ea3af821ee74327d647929fd4e8051688c8730f024d6ab,5.436
accents\real\hi_native\cv_hi_000005.wav,real,hi_native,common_voice_17_0,20c8af3d3924681f688ee678fe8bf01fb61085553e888cfcee35b3d4268a1a0e50d0cde2c1e1c5ad13701d066561a04fc1a9a0492c4433338cad61132eb03695,3.636
accents\real\hi_native\cv_hi_000006.wav,real,hi_native,common_voice_17_0,2755cbb1978d17293826c36025fffd2b0966f60a48ee026f909afce38191de6da445c4ee2d684bf32d65bb5779ea78ba4f2360baac46e6f48710b9c531277adc,5.256
accents\real\hi_native\cv_hi_000007.wav,real,hi_native,common_voice_17_0,29822eacca376bd26682b72d0212ea3f2897da482cbaa2e8046b66eb83af4dbb0cafeb48676702a2fdf34a45fc46ddf438d60d90ff3bcaa3171dbe5aa6321c3e,5.688
accents\real\hi_native\cv_hi_000008.wav,real,hi_native,common_voice_17_0,309905c4d7f3ff27c4eb1655f5216382b145e86f78962785253c5a52b4397a914d1fb694bd05d8fa4240b1eca105b8eda1125f169be893a9d2b0a2005ff1aee9,9.180
accents\real\hi_native\cv_hi_000009.wav,real,hi_native,common_voice_17_0,35b57937a48c8fa81eaa6a6af0b8228f449a80b7228b9d97f8ba3a9963ecfdc2bd5c60372b83e4f7ca0133fbb9c4dfdbcb554dbf34c2a262de380f4d396f042a,4.788
accents\real\en_foreign\cv_en_000000.wav,real,en_foreign,common_voice_17_0,8921c133cee10e2438f2a2e8a325b660f13581d6a2fca19c93741fa5a1a30f2a5696c27328d6e2c05877a346e4bfa8455c36b0b612ba7c84cd628731a4d30d04,7.608
accents\real\en_foreign\cv_en_000001.wav,real,en_foreign,common_voice_17_0,231338bce2633fb2b8ad33b23d4b04b0ad0671f86211792ae0923c0bff28afd439017d00d5991137bd440016a0f0c315e15f5a96e2b33deaa99e725741336c4c,6.552
accents\real\en_native\cv_en_000002.wav,real,en_native,common_voice_17_0,7eff9a54bdb0619deffda7609d5b8565278e3328de99e63908be2a37c1ad16516240b9c92bc6b68d8130b20dc556f57005dc053f4874a49589f5971a31b97e98,6.168
accents\real\en_foreign\cv_en_000003.wav,real,en_foreign,common_voice_17_0,47ebddea85e7f34cb00a6e1da84d242efd84a97588e6da8c365e0253ff70afb484ad747c7f22cafa4fef0b25453fb2577ed92f6cc5c2b38214dbcd1479e57396,3.336
accents\real\en_native\cv_en_000004.wav,real,en_native,common_voice_17_0,a05406a5eba158bcb40734bd3ad652d38bdd7e8514c35a5e2111831e56084fb06df244b9dadd705142185c2fb74a0aa1e3429632930935e7809639f677105f61,4.248
accents\real\en_foreign\cv_en_000005.wav,real,en_foreign,common_voice_17_0,70efccbeece8450b3b7ae006031e32b25e4370c91d5268cb8228e7da015920be3a8a0f2f29b4728671dfebfecf78a422a3cd20650cefffed8a98a339b6868b9a,4.944
accents\real\en_foreign\cv_en_000006.wav,real,en_foreign,common_voice_17_0,86555d8d6e72f13bfb4e6f527967f2fa1c4a8fa9721cf86ad72250a857862178a733c446ee6ec3f8b1f42365c9b8c8cb4eeeb6d0ec2a5ee862a404a07d9ab344,3.864
accents\real\en_native\cv_en_000007.wav,real,en_native,common_voice_17_0,a2576ccf04ad8c0dbe2b29f3843c1ed984d8bd91480766f4bf99c933d99ae8d2b32afc34c7e185b06c2b16deae4fbabb8030906be2455973e2d85d92b0afbc6e,6.228
accents\real\en_foreign\cv_en_000008.wav,real,en_foreign,common_voice_17_0,82da0ecebb638d9986b8a5d7f06d89bf0beae1489a0346153ad861d47a1012d433c1787831f51005a2d4966c67332411e27bd317ef29b8250a25c191f7272852,2.952
accents\real\en_foreign\cv_en_000009.wav,real,en_foreign,common_voice_17_0,064a2016c00e4edd9c4434e457a6beb17410df70500dd1d11c52fccd6ac7c5a7443504e27dc2dcc5e92ccc939c3bf8ea12de379c90c3f8ac250296e84f5d2fb9,6.528
accents\real\en_native\cv_en_000010.wav,real,en_native,common_voice_17_0,a2576ccf04ad8c0dbe2b29f3843c1ed984d8bd91480766f4bf99c933d99ae8d2b32afc34c7e185b06c2b16deae4fbabb8030906be2455973e2d85d92b0afbc6e,7.704
accents\real\en_native\cv_en_000011.wav,real,en_native,common_voice_17_0,90774ec0f6ec48f6341e1d12bd9bea2ef2e29342a37f48982c124fae32ad2243b357819ab62a7221e65bcfca153014d262c22605c58999278317f96f6fecd733,5.664
accents\real\en_foreign\cv_en_000012.wav,real,en_foreign,common_voice_17_0,58927dcf8a8e981d097471fc40ac91e5204eaeec38dee91a3dad83bd20362bba0e6fc3dcb8304ef0328ed0c48f4e9388ba012b66b21e932d75635aa6a2db253c,6.096
accents\real\en_foreign\cv_en_000013.wav,real,en_foreign,common_voice_17_0,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,6.360
accents\real\en_native\cv_en_000014.wav,real,en_native,common_voice_17_0,855f8a33eaaa82f29bc4b3f033c8b7ac436158da6dfe986a3c387c75de449b9d121431f112314aa34110a15230b60143f5bc272ec27a6168c35c4d37c901691e,4.536
accents\real\en_foreign\cv_en_000015.wav,real,en_foreign,common_voice_17_0,b2a1b57109ae46b724ebd8c28d0d63daf3e6b8852cee7a77828cf6304b99955f5be4abe3b1eccef1721896d8e955652194bda3f20b3ed1fc91f00495297db75b,4.176
accents\real\en_native\cv_en_000016.wav,real,en_native,common_voice_17_0,27663beb8ca372f1067cd18902573b6fe62a7825668aa40c0aeacd462e63f217dfde1d505cdffc3baa923a11287ef2cf7bc657d808cc2b21ce50f0d86821d49f,4.320
accents\real\en_foreign\cv_en_000017.wav,real,en_foreign,common_voice_17_0,e1d6762e52e8489616462631dad432684e93d04ea9cb768d06bf38058660dd3d9d71b0f7d52ba9d11f9c3a4cf753cb173b9556fde18a2618c011ce2bf73bb636,5.184
accents\real\en_foreign\cv_en_000018.wav,real,en_foreign,common_voice_17_0,f9f8ea8863559e13749833d040bce43206c78b40292c532f17431391a05895b0e215056c911cfca5099cdfcfb88d7cd3ea56491d7be81c99f37e11b5b6ea1753,5.304
accents\real\en_foreign\cv_en_000019.wav,real,en_foreign,common_voice_17_0,ff6c256ddb6671198ea6bd7256a1e43c22a270209b2bd1ba8297c5cb9fc6db37307aaaa3c1dc4a4bd7d4a42da2b312813017fd0fb47844fe24b63b0d4129f441,3.624
accents\real\en_foreign\cv_en_000020.wav,real,en_foreign,common_voice_17_0,ac033bcb388b843d9826ed30f7b6bcbce5f9e8202097f796c10aff8c58d5e766bbb828804ce3d725b5354221db9b376d486fc0248be1e565d70f6a9bf77701de,7.200
accents\real\en_native\cv_en_000021.wav,real,en_native,common_voice_17_0,e7dbf7f4ac96518681ef2d6e283c32cb5e416937d805afe4da4a8e8826553b733eef59050ec9edb98da07f032f09f947a1f58998e1950e4bad032a5648449505,5.064
accents\real\en_foreign\cv_en_000022.wav,real,en_foreign,common_voice_17_0,dc54990e12b8ba98c0bba3f9ec1a3f5bbf51715fa40e06cf580dd2de5f635dbe8036758bfee05ca016a1402ce02b60b525858e35fab733ca7fc1be76bdb2e638,8.460
accents\real\en_foreign\cv_en_000023.wav,real,en_foreign,common_voice_17_0,cb8c70e028fbef95a09b2d733debc284bd025bd30d530da681db17c45a97286e66d5ba0a62fb84cd3d02516384f1a8871926ce1ce8af0fd46948d170b18f4d0a,2.556
accents\real\en_foreign\cv_en_000024.wav,real,en_foreign,common_voice_17_0,dcac4ff5a9838d81c23810b05e38208bdc9342e7b45d655aab4ba7b8ed9d4b8688d7275bf9d0f5cfc9b8a23a4fbe395adb8ed17a11b02241ea1fe18f2b9ad997,4.104
accents\real\en_native\cv_en_000025.wav,real,en_native,common_voice_17_0,34ff5ad8db33561f4bfb74af391c451a0368e5ec0acc299f526a28bf2d18b7321eafb89138fd7fd867be609666eb0ea65489b1323feb0c06af4307c9fecdd6a2,6.744
accents\real\en_native\cv_en_000026.wav,real,en_native,common_voice_17_0,3c9b36decab172c516e345d2df4c6621ebe89115e41690baef9c0e96ba299a329a76f9b14a05c511c4fa5b5c0f3da918c92b1e38a42984c29d50fac03a8532e3,4.200
accents\real\en_native\cv_en_000027.wav,real,en_native,common_voice_17_0,3c0d9d6a3b88c93768a45f673941a03b112625587ce881d44fffec82fa33a69f4b57efb6b6882a8f8bff868d6f6ab7e850af4724dd394508b6e54d8262274bed,5.496
accents\real\en_native\cv_en_000028.wav,real,en_native,common_voice_17_0,994a6f5530a71aaf34d6fcf0a548b08774469e267bf64f52d827bd5e026ac8070b2bd8e9071983945598985de9410ca36e32d7a39c325f35e8000f119cd91101,3.576
