Training device: cuda
Building examples (channels=['whatsapp', 'volte', None])...
Building clean (no-degradation) examples from 6 real-clean + 6 fake-clean dirs...
96312 train windows / 24145 val windows from 83902 source files
epoch 1/30  train_loss=0.3027  val_eer=0.1270
epoch 2/30  train_loss=0.2144  val_eer=0.1067
epoch 3/30  train_loss=0.1901  val_eer=0.0998
epoch 4/30  train_loss=0.1761  val_eer=0.0941
epoch 5/30  train_loss=0.1657  val_eer=0.0875
epoch 6/30  train_loss=0.1582  val_eer=0.0893
epoch 7/30  train_loss=0.1512  val_eer=0.0874
epoch 8/30  train_loss=0.1464  val_eer=0.0843
epoch 9/30  train_loss=0.1421  val_eer=0.0833
epoch 10/30  train_loss=0.1376  val_eer=0.0835
epoch 11/30  train_loss=0.1343  val_eer=0.0823
epoch 12/30  train_loss=0.1314  val_eer=0.0826
epoch 13/30  train_loss=0.1279  val_eer=0.0809
epoch 14/30  train_loss=0.1262  val_eer=0.0819
epoch 15/30  train_loss=0.1230  val_eer=0.0787
epoch 16/30  train_loss=0.1205  val_eer=0.0828
epoch 17/30  train_loss=0.1189  val_eer=0.0815
epoch 18/30  train_loss=0.1165  val_eer=0.0799
epoch 19/30  train_loss=0.1153  val_eer=0.0800
epoch 20/30  train_loss=0.1130  val_eer=0.0772
epoch 21/30  train_loss=0.1114  val_eer=0.0846
epoch 22/30  train_loss=0.1104  val_eer=0.0779
epoch 23/30  train_loss=0.1080  val_eer=0.0794
epoch 24/30  train_loss=0.1070  val_eer=0.0821
epoch 25/30  train_loss=0.1057  val_eer=0.0803
epoch 26/30  train_loss=0.1045  val_eer=0.0810
epoch 27/30  train_loss=0.1035  val_eer=0.0816
epoch 28/30  train_loss=0.1012  val_eer=0.0789
epoch 29/30  train_loss=0.1018  val_eer=0.0847
epoch 30/30  train_loss=0.0998  val_eer=0.0835
Saved model.pt / model.onnx / metrics.json -> runs\voice_guard_v6
Next: python export_tflite.py --onnx runs\voice_guard_v6\model.onnx --out runs\voice_guard_v6\voice_detector.tflite
